Tank,START_DATETIME,PRESSURE_DATUM,OIL_CUM_TANK,WATER_CUM_TANK,GAS_CUM_TANK,Bo,Bg,GOR,Bo,Bg,GOR,Time_Step
tank_south,1985-01-01,1555.990178,709316.07,95606.64,709316.07,1.133013597746383,,89.0,1.133013597746383,,89.0,
tank_south,1986-01-01,1521.047282,872602.07,113858.64,872602.07,1.1332816170268254,,89.0,1.1332816170268254,,89.0,365.0
tank_south,1987-01-01,1486.104386,1054380.07,136539.64,1054380.07,1.1335744419729707,,89.0,1.1335744419729707,,89.0,730.0
tank_south,1988-01-01,1451.1614900000002,1192348.07,152351.64,1192348.07,1.1338727729577487,,89.0,1.1338727729577487,,89.0,1095.0
tank_south,1989-01-01,1416.2185940000002,1358200.07,174799.64,1358200.07,1.1341711039425268,,89.0,1.1341711039425268,,89.0,1461.0
tank_south,1990-01-01,1381.2756980000001,1472805.07,189390.64,1472805.07,1.134469434927305,,89.0,1.134469434927305,,89.0,1826.0
tank_south,1991-01-01,1346.3328020000001,1595590.07,200804.64,1595590.07,1.1347677659120832,,89.0,1.1347677659120832,,89.0,2191.0
tank_south,1992-01-01,1311.3899060000003,1685732.07,211931.64,1685732.07,1.135066096896861,,89.0,1.135066096896861,,89.0,2556.0
tank_south,1993-01-01,1276.4470100000003,1795984.98,227041.05,1795984.98,1.1353644278816393,,89.0,1.1353644278816393,,89.0,2922.0
tank_south,1994-01-01,1241.5041140000003,1884934.98,246640.05,1884934.98,1.1356627588664174,,89.0,1.1356627588664174,,89.0,3287.0
tank_south,1995-01-01,2586.32978,1945380.98,265233.05,1945380.98,1.125505552565476,,89.0,1.125505552565476,,89.0,3652.0
tank_south,1996-01-01,2610.7588587500004,1945380.98,265233.05,1945380.98,1.1253516364707974,,89.0,1.1253516364707974,,89.0,4017.0
tank_south,1997-01-01,2635.1879375000003,1945380.98,265233.05,1945380.98,1.125197720376119,,89.0,1.125197720376119,,89.0,4383.0
tank_south,1998-01-01,2659.6170162500002,1945380.98,265233.05,1945380.98,1.1250438042814404,,89.0,1.1250438042814404,,89.0,4748.0
tank_south,1999-01-01,2684.0460950000006,1987766.98,360911.05,1987766.98,1.1248898881867617,,89.0,1.1248898881867617,,89.0,5113.0
tank_south,2000-01-01,2493.4631383750007,1987766.98,360911.05,1987766.98,1.1261071444739243,,89.0,1.1261071444739243,,89.0,5478.0
tank_south,2001-01-01,2302.8801817500007,1987766.98,360911.05,1987766.98,1.1274558390714133,,89.0,1.1274558390714133,,89.0,5844.0
tank_south,2002-01-01,2112.2972251250003,1994542.07091,372300.5955,1994542.07091,1.1288045336689025,,89.0,1.1288045336689025,,89.0,6209.0
tank_south,2003-01-01,1921.7142685000003,2050788.0709,460187.5955,2050788.0709,1.1302084179016372,,89.0,1.1302084179016372,,89.0,6574.0
tank_south,2004-01-01,1731.1313118750004,2087940.0709,581609.5955,2087940.0709,1.1316702288202058,,89.0,1.1316702288202058,,89.0,6939.0
tank_south,2005-01-01,1540.5483552500002,2089620.6309,581747.9155,2089620.6309,1.1331320397387747,,89.0,1.1331320397387747,,89.0,7305.0
tank_south,2006-01-01,1349.965398625,2089620.6309,581747.9155,2089620.6309,1.1347367519935905,,89.0,1.1347367519935905,,89.0,7670.0
tank_south,2007-01-01,1159.382442,2174433.4769,587882.8535,2174433.4769,1.1363638867660448,,89.0,1.1363638867660448,,89.0,8035.0
tank_south,2008-01-01,1308.5881375000001,2378065.9069,606727.4835000001,2378065.9069,1.1350900174773342,,89.0,1.1350900174773342,,89.0,8400.0
tank_south,2009-01-01,1457.793833,2435024.9269000003,634974.7235000001,2435024.9269000003,1.1338161481886233,,89.0,1.1338161481886233,,89.0,8766.0
tank_south,2010-01-01,1606.9995285,2484313.5768999998,661655.0734999999,2484313.5768999998,1.1326223454181032,,89.0,1.1326223454181032,,89.0,9131.0
tank_south,2011-01-01,1756.2052239999998,2538147.5069000004,689934.9335,2538147.5069000004,1.1314779066988334,,89.0,1.1314779066988334,,89.0,9496.0
tank_south,2012-01-01,1905.4109194999999,2591814.7169000003,740981.0035,2591814.7169000003,1.1303334679795638,,89.0,1.1303334679795638,,89.0,9861.0
tank_south,2013-01-01,2054.616615,2661225.4469,769721.1335,2661225.4469,1.129212720888962,,89.0,1.129212720888962,,89.0,10227.0
tank_south,2014-01-01,1844.1822416666666,2734241.6769000003,794590.5235,2734241.6769000003,1.1308031046741105,,89.0,1.1308031046741105,,89.0,10592.0
tank_south,2015-01-01,1633.7478683333334,2759441.432030765,802516.7241392925,2759441.432030765,1.1324171800879268,,89.0,1.1324171800879268,,89.0,10957.0
tank_south,2016-01-01,1423.3134949999999,2759510.258856412,802527.3469535692,2759510.258856412,1.1341105300049164,,89.0,1.1341105300049164,,89.0,11322.0
tank_south,2017-01-01,1212.8791216666668,2759579.2742487052,802537.9988714467,2759579.2742487052,1.135907149661962,,89.0,1.135907149661962,,89.0,11688.0
tank_south,2018-01-01,1002.4447483333333,2759648.1010743524,802548.6216857233,2759648.1010743524,1.1376928585664905,,89.0,1.1376928585664905,,89.0,12053.0
tank_south,2019-01-01,792.0103750000001,2759716.9279,802559.2445,2759716.9279,1.13914386915342,,89.0,1.13914386915342,,89.0,12418.0
tank_south,2020-01-01,1079.9120977921139,2763944.4419,810384.6325000001,2763944.4419,1.137042378498619,,89.0,1.137042378498619,,89.0,12783.0
