Date,Tank,oil_prod_cum,water_prod_cum,gas_prod_cum,Pressure,oil_fvf,gas_fvf,gas_oil_rs_col
1983-10-01,tank_south,492661.83,77718.96,492661.83,1555.990178,1.133013597746383,0.041712745,89.0
1983-11-01,tank_south,506400.83,79597.96,506400.83,1555.990178,1.133013597746383,0.041712745,89.0
1983-12-01,tank_south,520718.83,81224.96,520718.83,1555.990178,1.133013597746383,0.041712745,89.0
1984-01-01,tank_south,536970.83,82428.96,536970.83,1555.990178,1.133013597746383,0.041712745,89.0
1984-02-01,tank_north,34255.0,7569.0,34255.0,3534.8600500867065,1.1209812849593497,0.041712745,89.0
1984-02-01,tank_south,553122.83,84001.96,553122.83,1555.990178,1.133013597746383,0.041712745,89.0
1984-03-01,tank_north,41028.0,12084.0,41028.0,3530.033567283961,1.1210220511706355,0.041712745,89.0
1984-03-01,tank_south,569104.83,85538.96,569104.83,1555.990178,1.133013597746383,0.041712745,89.0
1984-04-01,tank_north,55825.0,24108.0,55825.0,3524.8742235982672,1.1210656288447687,0.041712745,89.0
1984-04-01,tank_south,582339.83,86525.96,582339.83,1555.990178,1.133013597746383,0.041712745,89.0
1984-05-01,tank_south,599594.07,87716.64,599594.07,1555.990178,1.133013597746383,0.041712745,89.0
1984-06-01,tank_south,613910.07,88556.64,613910.07,1555.990178,1.133013597746383,0.041712745,89.0
1984-07-01,tank_south,626889.07,89293.64,626889.07,1555.990178,1.133013597746383,0.041712745,89.0
1984-08-01,tank_south,639860.07,89992.64,639860.07,1555.990178,1.133013597746383,0.041712745,89.0
1984-09-01,tank_south,650995.07,90631.64,650995.07,1555.990178,1.133013597746383,0.041712745,89.0
1984-10-01,tank_south,664276.07,91699.64,664276.07,1555.990178,1.133013597746383,0.041712745,89.0
1984-11-01,tank_south,679219.07,93128.64,679219.07,1555.990178,1.133013597746383,0.041712745,89.0
1984-12-01,tank_south,694303.07,94459.64,694303.07,1555.990178,1.133013597746383,0.041712745,89.0
1985-01-01,tank_south,709316.07,95606.64,709316.07,1555.990178,1.133013597746383,0.041712745,89.0
1985-02-01,tank_south,723875.07,96592.64,723875.07,1553.022425189041,1.1330363610277356,0.041712745,89.0
1985-03-01,tank_south,738474.07,97870.64,738474.07,1550.3418742630138,1.133056921410893,0.041712745,89.0
1985-04-01,tank_south,753312.07,99463.64,753312.07,1547.3741214520549,1.1330796846922455,0.041712745,89.0
1985-05-01,tank_south,769015.07,101259.64,769015.07,1544.5021026027398,1.1331017136741997,0.041712745,89.0
1985-06-01,tank_south,781965.07,102772.64,781965.07,1541.5343497917809,1.1331244769555524,0.041712745,89.0
1985-09-01,tank_south,802553.07,104781.64,802553.07,1532.726825320548,1.1331920325002118,0.041712745,89.0
1985-10-01,tank_north,65985.9,42999.619999999995,65985.9,3433.4760968264995,1.1214204199929385,0.041712745,89.0
1985-10-01,tank_south,819452.07,106237.64,819452.07,1529.854806471233,1.133214061482166,0.041712745,89.0
1985-11-01,tank_north,78953.84,65109.36,78953.84,3428.302617952626,1.1214375445184197,0.041712745,89.0
1985-11-01,tank_south,838229.07,107952.64,838229.07,1526.887053660274,1.1332368247635185,0.041712745,89.0
1985-12-01,tank_north,90686.82,79839.44,90686.82,3423.2960254940385,1.1214541166398533,0.041712745,89.0
1985-12-01,tank_south,855214.07,110781.64,855214.07,1524.015034810959,1.1332588537454729,0.041712745,89.0
1986-01-01,tank_south,872602.07,113858.64,872602.07,1521.047282,1.1332816170268254,0.041712745,89.0
1986-02-01,tank_south,889199.07,116229.64,889199.07,1518.079529189041,1.1333043803081781,0.041712745,89.0
1986-03-01,tank_south,905297.07,118412.64,905297.07,1515.3989782630138,1.1333249406913353,0.041712745,89.0
1986-04-01,tank_south,921093.07,120569.64,921093.07,1512.4312254520548,1.1333496720529324,0.041712745,89.0
1986-05-01,tank_south,934392.07,122265.64,934392.07,1509.5592066027398,1.1333741924078455,0.041712745,89.0
1986-06-01,tank_south,948099.07,123990.64,948099.07,1506.5914537917809,1.1333995301079227,0.041712745,89.0
1986-07-01,tank_south,964030.07,125833.64,964030.07,1503.7194349424658,1.133424050462836,0.041712745,89.0
1986-08-01,tank_south,980008.07,127611.64,980008.07,1500.7516821315069,1.133449388162913,0.041712745,89.0
1986-09-01,tank_south,995657.07,129836.64,995657.07,1497.783929320548,1.13347472586299,0.041712745,89.0
1986-10-01,tank_south,1010549.07,131912.64,1010549.07,1494.9119104712329,1.1334992462179032,0.041712745,89.0
1986-11-01,tank_south,1023986.07,133468.64,1023986.07,1491.944157660274,1.1335245839179804,0.041712745,89.0
1986-12-01,tank_south,1038589.07,135063.64,1038589.07,1489.072138810959,1.1335491042728936,0.041712745,89.0
1987-01-01,tank_south,1054380.07,136539.64,1054380.07,1486.104386,1.1335744419729707,0.041712745,89.0
1987-02-01,tank_south,1070019.07,138255.64,1070019.07,1483.136633189041,1.1335997796730477,0.041712745,89.0
1987-03-01,tank_south,1072276.07,138544.64,1072276.07,1480.4560822630137,1.1336226653376333,0.041712745,89.0
1987-08-01,tank_south,1086865.07,140474.64,1086865.07,1465.8087861315068,1.133747719147691,0.041712745,89.0
1987-09-01,tank_center,205853.8333,363682.9033,205853.8333,3675.67101,1.1197919448999765,0.041712745,89.0
1987-09-01,tank_south,1104769.07,142964.64,1104769.07,1462.841033320548,1.1337730568477682,0.041712745,89.0
1987-10-01,tank_center,221194.8333,364717.9033,221194.8333,3675.67101,1.1197919448999765,0.041712745,89.0
1987-10-01,tank_south,1125463.07,145266.64,1125463.07,1459.9690144712329,1.1337975772026814,0.041712745,89.0
1987-11-01,tank_center,237417.8333,365163.9033,237417.8333,3675.67101,1.1197919448999765,0.041712745,89.0
1987-11-01,tank_south,1148046.07,147599.64,1148046.07,1457.001261660274,1.1338229149027585,0.041712745,89.0
1987-12-01,tank_center,253570.8333,365843.9033,253570.8333,3675.67101,1.1197919448999765,0.041712745,89.0
1987-12-01,tank_south,1171088.07,150010.64,1171088.07,1454.1292428109589,1.1338474352576717,0.041712745,89.0
1988-01-01,tank_center,267095.8333,372679.9033,267095.8333,3675.67101,1.1197919448999765,0.041712745,89.0
1988-01-01,tank_south,1192348.07,152351.64,1192348.07,1451.16149,1.1338727729577487,0.041712745,89.0
1988-02-01,tank_center,279899.8333,386879.9033,279899.8333,3675.67101,1.1197919448999765,0.041712745,89.0
1988-02-01,tank_south,1210734.07,154291.64,1210734.07,1448.2018458032787,1.133898041429137,0.041712745,89.0
1988-03-01,tank_center,291347.8333,404229.9033,291347.8333,3675.67101,1.1197919448999765,0.041712745,89.0
1988-03-01,tank_south,1230490.07,156488.64,1230490.07,1445.4331463934425,1.1339216796765648,0.041712745,89.0
1988-04-01,tank_center,301997.8333,423809.9033,301997.8333,3675.67101,1.1197919448999765,0.041712745,89.0
1988-04-01,tank_south,1247687.07,158863.64,1247687.07,1442.4735021967213,1.1339469481479532,0.041712745,89.0
1988-05-01,tank_center,310954.8333,442043.9033,310954.8333,3675.67101,1.1197919448999765,0.041712745,89.0
1988-05-01,tank_south,1264215.07,160712.64,1264215.07,1439.6093303934426,1.1339714015073612,0.041712745,89.0
1988-06-01,tank_center,317701.8333,461200.9033,317701.8333,3675.67101,1.1197919448999765,0.041712745,89.0
1988-06-01,tank_south,1277771.07,162421.64,1277771.07,1436.6496861967212,1.1339966699787496,0.041712745,89.0
1988-07-01,tank_center,325601.8333,483180.9033,325601.8333,3675.67101,1.1197919448999765,0.041712745,89.0
1988-07-01,tank_south,1290193.07,164621.64,1290193.07,1433.7855143934426,1.1340211233381576,0.041712745,89.0
1988-08-01,tank_center,335125.8333,506242.9033,335125.8333,3675.67101,1.1197919448999765,0.041712745,89.0
1988-08-01,tank_south,1302053.07,167031.64,1302053.07,1430.8258701967213,1.1340463918095458,0.041712745,89.0
1988-09-01,tank_center,344829.8333,531833.9033,344829.8333,3675.67101,1.1197919448999765,0.041712745,89.0
1988-09-01,tank_south,1312538.07,169344.64,1312538.07,1427.8662259999999,1.1340716602809342,0.041712745,89.0
1988-10-01,tank_center,354043.8333,557884.9033,354043.8333,3661.2067779452054,1.1199141150110348,0.041712745,89.0
1988-10-01,tank_south,1322910.07,171076.64,1322910.07,1425.0020541967212,1.1340961136403422,0.041712745,89.0
1988-11-01,tank_center,362639.8333,581421.9033,362639.8333,3646.2604048219177,1.1200403574591284,0.041712745,89.0
1988-11-01,tank_south,1333854.07,172335.64,1333854.07,1422.04241,1.1341213821117304,0.041712745,89.0
1988-12-01,tank_center,370119.8333,603371.9033,370119.8333,3631.796172767123,1.1201625275701868,0.041712745,89.0
1988-12-01,tank_south,1345758.07,173518.64,1345758.07,1419.1782381967212,1.1341458354711385,0.041712745,89.0
1989-01-01,tank_center,376929.8333,627167.9033,376929.8333,3616.8497996438355,1.1202887700182804,0.041712745,89.0
1989-01-01,tank_south,1358200.07,174799.64,1358200.07,1416.218594,1.1341711039425268,0.041712745,89.0
1989-02-01,tank_center,383099.8333,649021.9033,383099.8333,3601.903426520548,1.1204150124663739,0.041712745,89.0
1989-02-01,tank_south,1368639.07,175953.64,1368639.07,1413.250841189041,1.1341964416426038,0.041712745,89.0
1989-03-01,tank_center,389063.8333,670486.9033,389063.8333,3588.40347660274,1.1205290379033617,0.041712745,89.0
1989-03-01,tank_south,1378917.07,177151.64,1378917.07,1410.5702902630137,1.1342193273071897,0.041712745,89.0
1989-04-01,tank_center,395554.8333,691437.9033,395554.8333,3573.457103479452,1.1206552803514553,0.041712745,89.0
1989-04-01,tank_south,1389454.07,178425.64,1389454.07,1407.6025374520548,1.1342446650072666,0.041712745,89.0
1989-05-01,tank_center,401035.8333,706226.9033,401035.8333,3558.9928714246576,1.1207774504625136,0.041712745,89.0
1989-05-01,tank_south,1398053.07,179424.64,1398053.07,1404.7305186027397,1.13426918536218,0.041712745,89.0
1989-06-01,tank_center,405522.8333,718609.9033,405522.8333,3544.04649830137,1.1209036929106073,0.041712745,89.0
1989-06-01,tank_south,1404981.07,180291.64,1404981.07,1401.7627657917808,1.134294523062257,0.041712745,89.0
1989-07-01,tank_center,411998.8333,736875.9033,411998.8333,3529.5822662465753,1.1210258630216656,0.041712745,89.0
1989-07-01,tank_south,1414480.07,181002.64,1414480.07,1398.8907469424657,1.1343190434171702,0.041712745,89.0
1989-08-01,tank_center,418818.8333,757083.9033,418818.8333,3514.6358931232876,1.1211517761976084,0.041712745,89.0
1989-08-01,tank_south,1424483.07,182104.64,1424483.07,1395.9229941315068,1.1343443811172473,0.041712745,89.0
1989-09-01,tank_center,422822.8333,770626.9033,422822.8333,3499.68952,1.1212012495894288,0.041712745,89.0
1989-09-01,tank_south,1431837.07,183258.64,1431837.07,1392.955241320548,1.1343697188173243,0.041712745,89.0
1989-10-01,tank_center,431153.8333,790827.9033,431153.8333,3485.2252879452053,1.1212491270653842,0.041712745,89.0
1989-10-01,tank_south,1443278.07,185168.64,1443278.07,1390.083222471233,1.1343942391722377,0.041712745,89.0
1989-11-01,tank_center,442276.8333,808267.9033,442276.8333,3470.2789148219176,1.1212986004572045,0.041712745,89.0
1989-11-01,tank_south,1454864.07,186739.64,1454864.07,1387.1154696602741,1.1344195768723147,0.041712745,89.0
1989-12-01,tank_center,454040.8333,826307.9033,454040.8333,3455.8146827671235,1.12134647793316,0.041712745,89.0
1989-12-01,tank_south,1464083.07,188089.64,1464083.07,1384.243450810959,1.1344440972272278,0.041712745,89.0
1990-01-01,tank_center,465456.8333,843538.9033,465456.8333,3440.868309643836,1.1213959513249803,0.041712745,89.0
1990-01-01,tank_south,1472805.07,189390.64,1472805.07,1381.2756980000001,1.134469434927305,0.041712745,89.0
1990-02-01,tank_center,476497.8333,861158.9033,476497.8333,3425.921936520548,1.1214454247168009,0.041712745,89.0
1990-02-01,tank_south,1481556.07,190670.64,1481556.07,1378.3079451890412,1.134494772627382,0.041712745,89.0
1990-03-01,tank_center,487080.8333,881789.9033,487080.8333,3412.4219866027397,1.1214901103610257,0.041712745,89.0
1990-03-01,tank_south,1490522.07,191699.64,1490522.07,1375.627394263014,1.1345176582919678,0.041712745,89.0
1990-04-01,tank_center,496929.8333,902185.9033,496929.8333,3397.475613479452,1.1215395837528463,0.041712745,89.0
1990-04-01,tank_south,1501079.07,193037.64,1501079.07,1372.659641452055,1.1345429959920448,0.041712745,89.0
1990-05-01,tank_center,507331.8333,923948.9033,507331.8333,3383.011381424658,1.1215874612288015,0.041712745,89.0
1990-05-01,tank_south,1512803.07,194471.64,1512803.07,1369.78762260274,1.134567516346958,0.041712745,89.0
1990-06-01,tank_center,518808.8333,941716.9033,518808.8333,3368.06500830137,1.121636934620622,0.041712745,89.0
1990-06-01,tank_south,1526659.07,195181.64,1526659.07,1366.819869791781,1.1345928540470351,0.041712745,89.0
1990-07-01,tank_center,531735.8333,960528.9033,531735.8333,3353.6007762465756,1.1216848120965772,0.041712745,89.0
1990-07-01,tank_south,1540207.07,196204.64,1540207.07,1363.947850942466,1.1346173744019483,0.041712745,89.0
1990-08-01,tank_center,544095.8333,980157.9033,544095.8333,3338.654403123288,1.1217342854883978,0.041712745,89.0
1990-08-01,tank_south,1551756.07,197444.64,1551756.07,1360.980098131507,1.1346427121020255,0.041712745,89.0
1990-09-01,tank_center,555476.8333,1000111.9033,555476.8333,3323.7080300000002,1.1217837588802182,0.041712745,89.0
1990-09-01,tank_south,1561119.07,198249.64,1561119.07,1358.012345320548,1.1346680498021025,0.041712745,89.0
1990-10-01,tank_center,566887.8333,1019615.9033,566887.8333,3309.2437979452056,1.1218316363561736,0.041712745,89.0
1990-10-01,tank_south,1569225.07,199015.64,1569225.07,1355.140326471233,1.1346925701570156,0.041712745,89.0
